subject,env,tree,tree_type,harvest_dur,num_harvests,difficulty_at_exit,score_tree,dur_per_harvest
5e9b5a4544abb6061b193dea,0,49,good,14952,7,13,61,"[0, 601, 720, 1087, 1417, 1808, 0]"
5e9b5a4544abb6061b193dea,0,50,good,14451,7,13,61,"[0, 392, 751, 1064, 2393, 1778, 0]"
5e9b5a4544abb6061b193dea,0,51,bad,2248,2,6,10,"[0, 863]"
5e9b5a4544abb6061b193dea,1,1,good,19792,8,15,67,"[0, 440, 752, 1113, 1472, 1983, 2648, 0]"
5e9b5a4544abb6061b193dea,1,2,bad,7642,4,16,29,"[0, 1032, 1904, 0]"
5e9b5a4544abb6061b193dea,1,3,bad,11775,5,21,42,"[0, 935, 1937, 3544, 0]"
5e9b5a4544abb6061b193dea,1,4,good,20998,9,17,81,"[0, 544, 736, 1080, 1440, 1871, 2048, 2376, 0]"
5e9b5a4544abb6061b193dea,1,5,good,20920,9,17,82,"[0, 495, 736, 1048, 1400, 1761, 2072, 2360, 0]"
5e9b5a4544abb6061b193dea,1,6,bad,12416,5,21,38,"[0, 952, 2049, 3721, 0]"
5e9b5a4544abb6061b193dea,1,7,good,21855,9,17,82,"[0, 384, 775, 1201, 1656, 1874, 2583, 2848, 0]"
5e9b5a4544abb6061b193dea,1,8,good,24168,9,17,79,"[0, 382, 736, 1127, 1488, 2754, 2736, 3303, 0]"
5e9b5a4544abb6061b193dea,1,9,bad,10936,5,21,38,"[0, 952, 1808, 2530, 0]"
5e9b5a4544abb6061b193dea,1,10,good,20153,9,17,80,"[0, 361, 696, 1032, 1408, 1753, 2344, 2352, 0]"
5e9b5a4544abb6061b193dea,1,11,bad,10175,5,21,40,"[0, 919, 1696, 2427, 0]"
5e9b5a4544abb6061b193dea,1,12,good,20984,9,17,80,"[0, 520, 744, 1073, 1432, 1783, 2200, 2641, 0]"
5e9b5a4544abb6061b193dea,1,13,bad,10432,5,21,39,"[0, 864, 1679, 2496, 0]"
5e9b5a4544abb6061b193dea,1,14,good,21176,9,17,75,"[0, 360, 753, 1136, 1505, 1856, 2272, 2488, 0]"
5e9b5a4544abb6061b193dea,1,15,bad,10008,5,21,44,"[0, 991, 1416, 2272, 0]"
